Gm#,Date,W/L,W-L,Rank,GB,D/N,Attendance,cLI,Streak,Orig. Scheduled
149,Friday Sep 15,W,77-72,2,13.5,N,32864.0,1.74,1W,
150,Saturday Sep 16,W-wo,78-72,2,13.5,N,35193.0,2.04,2W,
151,Sunday Sep 17,W,79-72,2,13.5,D,26307.0,2.27,3W,
152,Tuesday Sep 19,W,80-72,2,14.0,N,26093.0,2.0,4W,
153,Wednesday Sep 20,W,81-72,2,13.0,D,16848.0,1.94,5W,
160,Friday Sep 29,L,84-76,2,15.0,N,36133.0,0.18,2L,
161,Saturday Sep 30,L,84-77,2,15.0,N,36789.0,0.56,3L,
162,Sunday Oct 1,L,84-78,2,16.0,D,30703.0,0.12,4L,
1,Thursday Apr 7,W-wo,1-0,1,up 0.5,N,35508.0,0.98,1W,
2,Friday Apr 8,L,1-1,3,0.5,N,17297.0,1.06,1L,
3,Saturday Apr 9,L,1-2,5,1.0,N,19504.0,0.96,2L,
4,Sunday Apr 10,L,1-3,5,2.0,D,19089.0,0.93,3L,
5,Tuesday Apr 12,L,1-4,5,3.0,N,17674.0,0.78,4L,
6,Wednesday Apr 13,W-wo,2-4,5,2.5,D,12660.0,0.75,1W,
14,Friday Apr 22,L,5-9,5,5.5,N,20939.0,0.79,1L,
15,Saturday Apr 23,W,6-9,5,4.5,N,25413.0,0.69,1W,
16,Sunday Apr 24,L,6-10,5,5.5,D,23570.0,0.74,1L,
17,Monday Apr 25,L,6-11,5,6.5,N,17750.0,0.71,2L,
18,Tuesday Apr 26,W,7-11,5,6.0,N,18063.0,0.67,1W,
19,Wednesday Apr 27,W,8-11,5,5.0,D,15138.0,0.7,2W,
27,Friday May 6,W,14-13,5,4.0,N,18551.0,0.9,4W,
28,Saturday May 7,L,14-14,5,5.5,N,24133.0,0.99,1L,
29,Sunday May 8,W,15-14,5,5.5,D,19323.0,0.88,1W,
30,Monday May 9,W,16-14,5,4.5,N,11571.0,0.86,2W,
31,Tuesday May 10,W,17-14,4,4.5,N,8855.0,0.94,3W,
32,Wednesday May 11,L,17-15,4,4.5,D,9058.0,0.94,1L,
33,Friday May 13,W,18-15,4,3.0,N,21765.0,0.94,1W,
34,Saturday May 14,L,18-16,4,3.0,N,25169.0,0.94,1L,
35,Sunday May 15,L,18-17,4,4.0,D,23309.0,0.92,2L,
44,Monday May 23,W,22-22,4,7.5,N,14629.0,0.75,1W,
45,Tuesday May 24,W,23-22,4,7.5,N,12616.0,0.75,2W,
46,Thursday May 26,L,23-23,4,8.0,N,17057.0,0.94,1L,
47,Friday May 27,L,23-24,4,9.0,N,24865.0,0.84,2L,
48,Saturday May 28,L,23-25,4,10.0,D,30819.0,0.78,3L,
49,Sunday May 29,L,23-26,4,11.0,D,30482.0,0.72,4L,
50,Monday May 30,W,24-26,4,10.0,N,20735.0,0.65,1W,
51,Tuesday May 31,W-wo,25-26,4,9.0,N,12686.0,0.67,2W,
52,Wednesday Jun 1,L,25-27,4,9.0,D,12370.0,0.75,1L,
63,Monday Jun 13,L,29-34,4,9.5,N,13735.0,0.55,1L,
64,Tuesday Jun 14,L,29-35,4,10.5,N,15081.0,0.46,2L,
65,Wednesday Jun 15,W,30-35,4,10.5,D,14917.0,0.42,1W,
66,Friday Jun 17,W,31-35,4,10.0,N,26351.0,0.43,2W,
67,Saturday Jun 18,L,31-36,4,10.5,N,24338.0,0.45,1L,
68,Sunday Jun 19,W,32-36,4,9.5,D,30690.0,0.4,1W,
72,Friday Jun 24,L,32-40,4,13.5,N,22064.0,0.3,4L,
73,Saturday Jun 25,L,32-41,4,13.5,N,23129.0,0.26,5L,
74,Sunday Jun 26,W,33-41,4,13.5,D,22529.0,0.22,1W,
75,Tuesday Jun 28,W-wo,34-41,4,12.0,N,19904.0,0.29,2W,
76,Wednesday Jun 29,L,34-42,4,13.0,D,20109.0,0.35,1L,
80,Monday Jul 4,W,36-44,4,14.5,D,27752.0,0.24,1W,
81,Tuesday Jul 5,W,37-44,4,14.5,N,14467.0,0.29,2W,
82,Wednesday Jul 6,L,37-45,4,15.5,N,13445.0,0.31,1L,
83,Thursday Jul 7,L,37-46,4,16.5,N,11727.0,0.24,2L,
84,Friday Jul 8,L,37-47,4,17.5,N,15524.0,0.21,3L,
85,Saturday Jul 9,W,38-47,4,17.5,D,21819.0,0.17,1W,
86,Sunday Jul 10,L,38-48,4,18.5,D,18126.0,0.19,1L,
93,Friday Jul 22,W,41-52,5,21.5,N,17819.0,0.09,2W,
94,Saturday Jul 23,W,42-52,5,21.5,N,37802.0,0.12,3W,
95,Sunday Jul 24,L,42-53,5,22.5,D,20278.0,0.14,1L,
96,Monday Jul 25,W,43-53,5,21.5,N,16100.0,0.14,1W,
97,Tuesday Jul 26,W,44-53,4,20.5,N,16989.0,0.18,2W,
98,Wednesday Jul 27,W,45-53,4,20.5,D,17043.0,0.21,3W,
105,Friday Aug 5,W,47-58,4,25.5,N,17720.0,0.05,1W,
106,Saturday Aug 6,L,47-59,4,26.5,N,21146.0,0.07,1L,
107,Sunday Aug 7,W,48-59,4,26.5,D,20644.0,0.04,1W,
108,Monday Aug 8,W,49-59,4,26.0,N,11275.0,0.05,2W,
109,Tuesday Aug 9,W,50-59,4,26.0,N,12901.0,0.08,3W,
110,Wednesday Aug 10,L,50-60,4,27.0,N,12714.0,0.06,1L,
111,Thursday Aug 11,W,51-60,4,26.5,D,12725.0,0.05,1W,
119,Friday Aug 19,L,55-64,4,27.5,N,32183.0,0.06,1L,
120,Saturday Aug 20,L,55-65,4,28.5,N,34248.0,0.06,2L,
121,Sunday Aug 21,L,55-66,4,29.5,D,25064.0,0.04,3L,
127,Monday Aug 29,W,60-67,4,29.0,N,18594.0,0.04,4W,
128,Tuesday Aug 30,W,61-67,3,29.0,N,16873.0,0.05,5W,
129,Wednesday Aug 31,L,61-68,3,29.0,N,13690.0,0.06,1L,
130,Thursday Sep 1,W,62-68,3,28.0,N,10495.0,0.03,1W,
131,Friday Sep 2,W,63-68,3,27.0,N,13488.0,0.04,2W,
132,Saturday Sep 3,L,63-69,4,28.0,N,22138.0,0.05,1L,
133,Sunday Sep 4,W,64-69,4,28.0,D,20274.0,0.04,1W,
140,Monday Sep 12,L,66-74,4,31.0,N,19393.0,0.01,1L,
141,Tuesday Sep 13,L,66-75,4,32.0,N,21143.0,0.0,2L,
142,Wednesday Sep 14,W-wo,67-75,4,31.0,N,22971.0,0.0,1W,
143,Thursday Sep 15,W,68-75,4,30.5,N,17121.0,0.0,2W,
144,Friday Sep 16,L,68-76,4,31.5,N,19945.0,0.0,1L,
145,Saturday Sep 17,L,68-77,4,32.5,N,29796.0,0.0,2L,
146,Sunday Sep 18,L,68-78,4,33.5,D,20480.0,0.0,3L,
152,Friday Sep 23,L,70-82,4,34.5,N,25949.0,0.0,2L,
153,Saturday Sep 24,W,71-82,4,34.5,N,24504.0,0.0,1W,
154,Sunday Sep 25,L,71-83,4,35.5,D,25389.0,0.0,1L,
